created,created_by_ref,description,external_references,id,identity_class,kill_chain_phases,modified,name,spec_version,tool_types,type
2026-01-18T18:51:00.049154Z,,heilancoos.github.io is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,organization,,2026-01-18T18:51:00.049154Z,heilancoos.github.io,2.1,,identity
2026-01-18T18:51:00.049154Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,2026-01-18T18:51:00.049154Z,TI Mindmap HUB,2.1,,identity
2026-01-18T18:51:18.510436Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers target Kubernetes clusters by accessing the Kubernetes API server without valid authentication credentials. In this campaign, adversaries exploit misconfigurations or default settings that leave the API server exposed to the network, allowing them to send unauthenticated requests. This can result in full control over cluster resources, including the ability to create, modify, or delete pods, services, and other objects. The technique is particularly dangerous because the API server is the central management point for the cluster, and unauthenticated access can bypass all intended security controls. Attackers may use tools like kubectl or custom scripts to interact with the API endpoint directly, leveraging the lack of authentication to enumerate resources and launch further attacks.",,attack-pattern--6ef42d9f-f8cf-3145-8411-f3442ed4de00,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",2026-01-18T18:51:18.510436Z,Unauthenticated API Access,2.1,,attack-pattern
2026-01-18T18:51:18.510523Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Adversaries abuse misconfigured Role-based Access Control (RBAC) policies within Kubernetes clusters. In this threat scenario, attackers either obtain credentials for a legitimate user or exploit service accounts with excessive permissions. The RBAC misconfiguration allows them to escalate privileges, access sensitive resources, or perform administrative actions. For example, an attacker who compromises a low-privileged account may find that RBAC rules grant it cluster-admin privileges or access to all namespaces. This enables lateral movement, resource manipulation, and persistence. The technique is commonly used in Kubernetes attacks due to the complexity of RBAC configuration and the prevalence of overly broad roles in production environments.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1078/004/"", ""external_id"": ""T1078.004""}]",attack-pattern--68059210-09f0-e5e3-ac4f-02e3b99654be,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",2026-01-18T18:51:18.510523Z,Overly Permissive Role-based Access Control,2.1,,attack-pattern
2026-01-18T18:51:18.510689Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers exploit Kubernetes service account tokens to gain unauthorized access to cluster resources. In this campaign, adversaries obtain service account tokens either by accessing them directly from mounted volumes within pods or by compromising a pod that has a token assigned. These tokens are then used to authenticate API requests, allowing attackers to interact with the API server under the identity of the compromised service account. If the service account has broad permissions, the attacker can enumerate resources, modify configurations, or escalate privileges. The abuse of service account tokens is a common technique due to their widespread use and frequent over-permissioning in Kubernetes environments.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1528/"", ""external_id"": ""T1528""}]",attack-pattern--730b5c47-6351-74d5-48b6-80f4de5f79b0,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",2026-01-18T18:51:18.510689Z,Service Account Token Abuse,2.1,,attack-pattern
2026-01-18T18:51:18.510788Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Adversaries deploy or modify Kubernetes admission controllers to inject malicious logic into the cluster's resource creation process. Admission controllers are components that intercept API requests before they are persisted, allowing for validation or mutation of resources. In this threat scenario, attackers compromise or create a custom admission controller that automatically modifies incoming resource definitions to include backdoors, privilege escalation mechanisms, or persistence techniques. This enables attackers to maintain control over the cluster and evade detection, as every new resource can be automatically altered to suit their objectives.",,attack-pattern--e0c29c46-1636-ef8a-0795-357c457cf160,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",2026-01-18T18:51:18.510788Z,Malicious Admission Controllers,2.1,,attack-pattern
2026-01-18T18:51:18.510872Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers manipulate the CoreDNS configuration or data within a Kubernetes cluster to redirect or intercept network traffic. CoreDNS is responsible for internal DNS resolution, and poisoning its records allows adversaries to reroute service requests to malicious endpoints, facilitate man-in-the-middle attacks, or disrupt cluster operations. In this campaign, attackers gain access to the CoreDNS ConfigMap or directly modify DNS records, impacting service discovery and communication between pods. This can lead to data exfiltration, credential theft, or further compromise of cluster resources.",,attack-pattern--e6d0dca1-7a51-ed8d-3f27-0b1a8726023a,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""impact""}]",2026-01-18T18:51:18.510872Z,CoreDNS Poisoning,2.1,,attack-pattern
2026-01-18T18:51:18.510988Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Adversaries exploit writable volume mounts in Kubernetes pods to gain persistence or access sensitive data. In this scenario, attackers target pods with volumes mounted in write mode, allowing them to store malicious payloads, modify application files, or harvest credentials and secrets. Writable mounts can also be used to escape container isolation by writing to host-mounted volumes or other shared resources. This technique is particularly effective in environments where volume permissions are not tightly controlled, enabling attackers to maintain a foothold or facilitate lateral movement within the cluster.",,attack-pattern--ca68d844-4556-44cd-eb4b-f308b07d985e,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",2026-01-18T18:51:18.510988Z,Writable Volume Mounts Abuse,2.1,,attack-pattern
2026-01-18T18:51:18.511078Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers create or steal Kubernetes credentials (such as KubeConfig files or client certificates) that grant unrestricted access to the cluster, similar to the 'Golden Ticket' concept in Active Directory attacks. In this campaign, adversaries obtain or forge credentials that allow them to impersonate cluster administrators, bypassing all RBAC and authentication controls. With these credentials, attackers can perform any action within the cluster, including creating privileged pods, accessing secrets, and modifying critical configurations. The technique relies on either credential theft from compromised endpoints or the generation of fraudulent certificates using access to the certificate authority.",,attack-pattern--3f713cb4-7ebc-1e58-324a-5a20bca405c0,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",2026-01-18T18:51:18.511078Z,Kubernetes Golden Ticket,2.1,,attack-pattern
2026-01-18T18:51:31.117099Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers can abuse kubectl to interact with the Kubernetes API server, modify cluster configurations, enumerate resources, and execute commands within containers after gaining access to a cluster or credentials.",,tool--0f12ee5c-9f1d-d901-5858-0f1c292b0d37,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",2026-01-18T18:51:31.117099Z,kubectl,2.1,"[""remote-access"", ""information-gathering"", ""exploitation""]",tool
2026-01-18T18:51:31.117187Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Malicious actors can use etcdctl to directly access and manipulate the etcd key-value store, potentially extracting secrets, service account tokens, or modifying cluster state for privilege escalation or persistence.",,tool--9fecae9d-dc56-cc36-8ceb-64850611e7bf,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",2026-01-18T18:51:31.117187Z,etcdctl,2.1,"[""information-gathering"", ""credential-exploitation"", ""exploitation""]",tool
2026-01-18T18:51:31.117239Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"etcdutl can be leveraged to interact with etcd for backup, restore, and direct data manipulation, which attackers may use to exfiltrate sensitive data or alter cluster state.",,tool--c7c1d7b6-819d-7256-038e-4c27fd390a3c,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""collection""}]",2026-01-18T18:51:31.117239Z,etcdutl,2.1,"[""information-gathering"", ""exploitation""]",tool
2026-01-18T18:51:31.117289Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"microk8s, a legitimate Kubernetes deployment tool, can be abused by attackers to deploy malicious workloads, escalate privileges, or manipulate cluster configuration if they gain access to the host.",,tool--b4cffed0-92eb-2261-677e-6f35f1797ab5,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",2026-01-18T18:51:31.117289Z,microk8s,2.1,"[""exploitation"", ""privilege-escalation""]",tool
2026-01-18T18:51:31.117336Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"minikube, typically used for local Kubernetes cluster setup, may be abused by attackers to create isolated environments for testing malicious configurations or persistence mechanisms.",,tool--054358ce-fa61-ead5-9519-90079af92856,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",2026-01-18T18:51:31.117336Z,minikube,2.1,"[""exploitation"", ""persistence""]",tool
2026-01-18T18:51:31.117383Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"K3s, a lightweight Kubernetes distribution, can be exploited by attackers to quickly deploy and control clusters for malicious purposes, including lateral movement or persistence.",,tool--8adf56ad-116b-e901-bc1c-46fc138f5e35,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",2026-01-18T18:51:31.117383Z,K3s,2.1,"[""exploitation"", ""persistence""]",tool
2026-01-18T18:51:31.117429Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"kubeadm, used for initializing and managing Kubernetes clusters, can be abused to reconfigure clusters, add rogue nodes, or alter cluster state if attackers gain administrative access.",,tool--739b7458-33fb-c0b3-6022-a8c61e5a2825,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",2026-01-18T18:51:31.117429Z,kubeadm,2.1,"[""exploitation"", ""privilege-escalation""]",tool
2026-01-18T18:51:31.117503Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers can abuse kubelet to execute commands in containers, access sensitive data, or manipulate workloads running on nodes after compromising credentials or exploiting misconfigurations.",,tool--703e9c64-0b9e-3ea6-30f6-687938e43c9a,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",2026-01-18T18:51:31.117503Z,kubelet,2.1,"[""remote-access"", ""exploitation""]",tool
